DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;350010 Adamantina;60;8;0;196;36;0;248;29;0;116;7;0;100;26;0;53;8;0;27;2;0;55;5;0;60;9;0;83;15;0;64;8;0;49;16;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;12;0;0;28;3;0;46;3;0;33;5;0;37;13;0;30;5;0;13;6;0;9;2;0;8;1;0;26;11;1;106;59;0;136;45;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;30;6;0;228;42;0;514;100;1;623;126;0;607;180;1;275;60;2;110;22;0;35;6;0;44;3;0;17;3;0;28;1;0;17;2;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;8;0;1;60;14;0;145;75;1;193;69;0;144;67;0;40;15;1;13;1;0;1;0;0;4;0;0;0;0;0;2;0;0;1;0;0
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;14;7;7;119;77;2;415;287;2;529;495;0;438;398;1;74;65;0;20;17;0;6;1;2;4;0;0;1;0;0;0;0;0;2;0;1
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;1;0;1;54;9;1;74;46;1;245;178;2;390;300;0;162;129;0;31;16;0;9;4;0;5;3;0;2;1;0;0;0;0;1;0;0
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;13;1;0;53;11;3;61;22;1;69;28;3;116;60;2;42;16;0;16;3;0;10;2;0;14;0;1;6;2;0;9;1;0;21;5;0
6;BAURU;15;BAURU;35062;BAURU;350070 Agudos;26;11;0;61;35;0;118;90;0;106;77;0;208;197;0;126;119;0;116;110;0;60;52;0;8;4;0;2;1;0;4;3;0;4;1;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350075 Alambari;5;0;1;35;8;0;45;26;0;78;49;3;61;44;0;5;1;0;5;0;0;1;0;0;2;0;0;1;0;0;3;0;0;1;0;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;6;0;0;13;0;1;12;1;0;10;2;1;7;1;1;6;2;0;4;1;0;3;0;0;3;0;0;2;0;0;5;0;4;48;22;16
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;31;3;1;30;9;1;31;8;0;45;23;1;95;38;1;38;21;0;14;6;0;1;1;0;3;0;0;7;0;0;2;0;0;27;3;1
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;10;3;4;35;19;4;101;81;13;167;164;0;231;227;1;58;55;0;9;8;0;1;0;1;2;1;1;1;0;0;3;0;1;2;0;1
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;1;0;1;2;1;1;2;1;1;7;3;1;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;1
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350115 Alumínio;27;8;2;128;45;2;384;235;9;700;382;12;446;287;0;94;65;1;18;9;0;6;0;0;17;2;2;4;0;0;1;0;0;1;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;17;2;0;37;6;0;59;12;0;79;38;0;68;40;0;81;68;0;79;56;0;59;31;0;46;17;0;50;23;0;67;36;1;129;60;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350130 Álvares Machado;61;1;1;154;8;1;191;2;0;163;9;7;94;6;2;56;4;1;33;1;0;30;2;0;33;2;0;30;0;0;38;3;0;25;5;1
