Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;350010 Adamantina;231;136;0;327;141;0;465;192;0;1.023;469;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;202;142;0;104;60;0;40;12;0;346;214;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;119;58;0;248;72;0;704;212;2;1.071;342;2;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;12;1;0;41;6;2;35;9;0;88;16;2;
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;13;3;3;21;4;4;56;27;1;90;34;8;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;35;8;0;112;36;0;320;148;1;467;192;1;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;84;61;0;96;50;2;82;40;1;262;151;3;
6;BAURU;15;BAURU;35062;BAURU;350070 Agudos;49;42;0;112;95;0;196;145;1;357;282;1;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350075 Alambari;6;0;1;7;2;0;39;8;1;52;10;2;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;297;156;56;191;121;33;36;30;0;524;307;89;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;42;11;0;31;9;0;38;9;1;111;29;1;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;15;3;7;28;21;1;97;91;2;140;115;10;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;23;14;6;70;58;8;203;139;2;296;211;16;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350115 Alumínio;11;2;1;55;6;3;140;21;9;206;29;13;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;184;76;0;109;41;0;57;22;0;350;139;0;
